Z,mus,mup,mum,phis,phip,phim
0.7619,0.0188133175900723,-6.33376928335752,-5.63753021567101,0.950823122431052,0.0017462115759031,0.00350330597656241
0.7621,0.0188133239251087,-6.33376928333264,-5.63753021629367,0.950823135443126,0.00174621173940039,0.00350330562701859
0.7623,0.0188133302601576,-6.33376928330735,-5.63753021691652,0.950823148351025,0.0017462119040394,0.0035033052825354
0.7625,0.0188133365951914,-6.33376928328206,-5.63753021753934,0.950823161139721,0.00174621206998322,0.00350330494384139
0.7627,0.0188133429302245,-6.33376928325707,-5.63753021816206,0.950823173791348,0.00174621223742795,0.00350330461180471
0.7629,0.0188133492652582,-6.33376928323218,-5.637530218785,0.950823186284779,0.0017462124066049,0.00350330428745148
0.7631,0.0188133556002839,-6.33376928320694,-5.63753021940778,0.95082319859512,0.00174621257778739,0.00350330397199144
0.7633,0.0188133619353096,-6.33376928318181,-5.6375302200305,0.95082321069312,0.0017462127512955,0.00350330366684507
0.7635,0.018813368270338,-6.33376928315708,-5.6375302206535,0.950823222544474,0.00174621292750436,0.00350330337367812
0.7637,0.018813374605348,-6.33376928313191,-5.63753022127635,0.950823234109004,0.00174621310685461,0.00350330309444255
0.7639,0.0188133809403676,-6.33376928310726,-5.63753022189911,0.950823245339709,0.00174621328986118,0.00350330283142153
0.7641,0.0188133872753829,-6.33376928308229,-5.63753022252198,0.950823256181637,0.00174621347712613,0.00350330258728424
0.7643,0.0188133936103979,-6.33376928305792,-5.63753022314489,0.950823266570585,0.00174621366935184,0.00350330236514844
0.7645,0.0188133999454058,-6.33376928303304,-5.63753022376777,0.950823276431566,0.00174621386736086,0.0035033021686575
0.7647,0.0188134062804093,-6.33376928300814,-5.63753022439066,0.950823285677025,0.00174621407211171,0.00350330200206368
0.7649,0.0188134126154113,-6.33376928298354,-5.63753022501368,0.950823294204758,0.00174621428472349,0.003503301870331
0.7651,0.0188134189504084,-6.33376928295871,-5.63753022563653,0.950823301895472,0.0017462145065038,0.00350330177925457
0.7653,0.0188134252853963,-6.33376928293397,-5.63753022625925,0.950823308609954,0.00174621473897686,0.0035033017355958
0.7655,0.0188134316203847,-6.33376928290904,-5.63753022688224,0.950823314185749,0.00174621498392248,0.00350330174724578
0.7657,0.0188134379553787,-6.33376928288418,-5.63753022750523,0.950823318433299,0.00174621524341729,0.00350330182341213
0.7659,0.0188134442903647,-6.3337692828595,-5.63753022812823,0.950823321131428,0.00174621551988318,0.00350330197483725
